id_record;tanggal;komoditas;kategori_komoditas;satuan;pasar;kecamatan;harga;volume_distribusi;ramadhan;idul_fitri;natal_tahun_baru;hujan;operasi_pasar;gangguan_distribusi;banjir;nama_kearifan;jenis_kearifan;kearifan_score;faktor_utama;target_harga_next_day
1;2025-05-01;Beras;Pangan Pokok;kg;Pasar Inpres;Lubuklinggau Barat I;12500;549,2;0;0;0;0;0;0;0;Pasar Subuh;Distribusi;0,66;Normal;12600
2;2025-05-01;Cabai Merah;Hortikultura;kg;Pasar Moneng Sepati;Lubuklinggau Selatan II;37500;173,1;0;0;0;0;0;0;0;Pasar Subuh;Distribusi;0,7;Normal;37500
3;2025-05-01;Bawang Merah;Hortikultura;kg;Pasar Simpang Periuk;Lubuklinggau Selatan I;30500;215,9;0;0;0;0;0;0;0;Pasokan Harian Tanpa Gudang;Distribusi;0,78;Normal;31000
4;2025-05-01;Daging Ayam;Protein Hewani;kg;Pasar Bukit Sulap;Lubuklinggau Timur I;36500;261,6;0;0;0;0;0;0;0;Harga Musiman Hari Besar;Perilaku Pasar;0,81;Normal;36500
5;2025-05-01;Minyak Goreng;Pangan Olahan;liter;Pasar Inpres;Lubuklinggau Barat I;17000;447,8;0;0;0;0;0;0;0;Harga Musiman Hari Besar;Perilaku Pasar;0,81;Normal;17200
6;2025-05-02;Cabai Merah;Hortikultura;kg;Pasar Moneng Sepati;Lubuklinggau Selatan II;38000;176,9;0;0;0;0;0;0;0;Harga Musiman Hari Besar;Perilaku Pasar;0,75;Normal;38500
7;2025-05-02;Bawang Merah;Hortikultura;kg;Pasar Simpang Periuk;Lubuklinggau Selatan I;31500;215,5;0;0;0;0;0;0;0;Sistem Langganan Pemasok;Sosial Ekonomi;0,66;Normal;32000
8;2025-05-02;Daging Ayam;Protein Hewani;kg;Pasar Bukit Sulap;Lubuklinggau Timur I;37000;252,2;0;0;0;0;0;0;0;Distribusi Berbasis Keluarga;Sosial;0,58;Normal;37500
9;2025-05-02;Minyak Goreng;Pangan Olahan;liter;Pasar Inpres;Lubuklinggau Barat I;17000;407,6;0;0;0;0;0;0;0;Distribusi Berbasis Keluarga;Sosial;0,54;Normal;17200
10;2025-05-02;Beras;Pangan Pokok;kg;Pasar Moneng Sepati;Lubuklinggau Selatan II;12500;576,1;0;0;0;0;0;0;0;Distribusi Berbasis Keluarga;Sosial;0,64;Normal;12600
11;2025-05-03;Bawang Merah;Hortikultura;kg;Pasar Simpang Periuk;Lubuklinggau Selatan I;31500;221,9;0;0;0;0;0;0;0;Tawar-Menawar Tradisional;Budaya;0,55;Normal;31500
12;2025-05-03;Daging Ayam;Protein Hewani;kg;Pasar Bukit Sulap;Lubuklinggau Timur I;37000;295,6;0;0;0;0;0;0;0;Pasar Subuh;Distribusi;0,74;Normal;37000
13;2025-05-03;Minyak Goreng;Pangan Olahan;liter;Pasar Inpres;Lubuklinggau Barat I;17000;401,5;0;0;0;0;0;0;0;Pasar Subuh;Distribusi;0,69;Normal;17200
14;2025-05-03;Beras;Pangan Pokok;kg;Pasar Moneng Sepati;Lubuklinggau Selatan II;12700;531,5;0;0;0;0;0;0;0;Pasar Subuh;Distribusi;0,68;Normal;12800
15;2025-05-03;Cabai Merah;Hortikultura;kg;Pasar Simpang Periuk;Lubuklinggau Selatan I;37500;193,7;0;0;0;0;0;0;0;Pasokan Harian Tanpa Gudang;Distribusi;0,71;Normal;37500
16;2025-05-04;Daging Ayam;Protein Hewani;kg;Pasar Bukit Sulap;Lubuklinggau Timur I;37000;260,9;0;0;0;0;0;0;0;Harga Musiman Hari Besar;Perilaku Pasar;0,81;Normal;37500
17;2025-05-04;Minyak Goreng;Pangan Olahan;liter;Pasar Inpres;Lubuklinggau Barat I;17300;481,1;0;0;0;1;0;0;0;Harga Musiman Hari Besar;Perilaku Pasar;0,76;Hujan;17400
18;2025-05-04;Beras;Pangan Pokok;kg;Pasar Moneng Sepati;Lubuklinggau Selatan II;12700;457,7;0;0;0;0;0;0;0;Harga Musiman Hari Besar;Perilaku Pasar;0,83;Normal;12900
19;2025-05-04;Cabai Merah;Hortikultura;kg;Pasar Simpang Periuk;Lubuklinggau Selatan I;38000;191,7;0;0;0;0;0;0;0;Sistem Langganan Pemasok;Sosial Ekonomi;0,68;Normal;38500
20;2025-05-04;Bawang Merah;Hortikultura;kg;Pasar Simpang Periuk;Lubuklinggau Selatan I;31000;224,3;0;0;0;0;0;0;0;Pasar Subuh;Distribusi;0,68;Normal;31000
21;2025-05-05;Minyak Goreng;Pangan Olahan;liter;Pasar Inpres;Lubuklinggau Barat I;17100;446,9;0;0;0;0;0;0;0;Distribusi Berbasis Keluarga;Sosial;0,62;Normal;17300
22;2025-05-05;Beras;Pangan Pokok;kg;Pasar Moneng Sepati;Lubuklinggau Selatan II;12600;511,4;0;0;0;0;0;0;0;Distribusi Berbasis Keluarga;Sosial;0,63;Normal;12700
23;2025-05-05;Cabai Merah;Hortikultura;kg;Pasar Simpang Periuk;Lubuklinggau Selatan I;37000;176,3;0;0;0;0;0;0;0;Tawar-Menawar Tradisional;Budaya;0,53;Normal;37500
24;2025-05-05;Bawang Merah;Hortikultura;kg;Pasar Simpang Periuk;Lubuklinggau Selatan I;31500;228,2;0;0;0;1;0;0;0;Harga Musiman Hari Besar;Perilaku Pasar;0,8;Hujan;32000
25;2025-05-05;Daging Ayam;Protein Hewani;kg;Pasar Bukit Sulap;Lubuklinggau Timur I;37500;251,1;0;0;0;0;0;0;0;Pasokan Harian Tanpa Gudang;Distribusi;0,76;Normal;38000
26;2025-05-06;Beras;Pangan Pokok;kg;Pasar Moneng Sepati;Lubuklinggau Selatan II;13000;366,4;0;0;0;1;0;1;0;Pasar Subuh;Distribusi;0,76;"Hujan; Gangguan Distribusi";13100
27;2025-05-06;Cabai Merah;Hortikultura;kg;Pasar Simpang Periuk;Lubuklinggau Selatan I;37000;211,3;0;0;0;0;0;0;0;Pasokan Harian Tanpa Gudang;Distribusi;0,79;Normal;38000
28;2025-05-06;Bawang Merah;Hortikultura;kg;Pasar Simpang Periuk;Lubuklinggau Selatan I;31000;235,8;0;0;0;0;0;0;0;Distribusi Berbasis Keluarga;Sosial;0,63;Normal;31000
29;2025-05-06;Daging Ayam;Protein Hewani;kg;Pasar Bukit Sulap;Lubuklinggau Timur I;37000;229,7;0;0;0;0;0;0;0;Sistem Langganan Pemasok;Sosial Ekonomi;0,6;Normal;37500
30;2025-05-06;Minyak Goreng;Pangan Olahan;liter;Pasar Inpres;Lubuklinggau Barat I;17100;443,7;0;0;0;0;0;0;0;Sistem Langganan Pemasok;Sosial Ekonomi;0,62;Normal;17300
31;2025-05-07;Cabai Merah;Hortikultura;kg;Pasar Simpang Periuk;Lubuklinggau Selatan I;37500;177,6;0;0;0;0;0;0;0;Sistem Langganan Pemasok;Sosial Ekonomi;0,65;Normal;37500
32;2025-05-07;Bawang Merah;Hortikultura;kg;Pasar Simpang Periuk;Lubuklinggau Selatan I;31500;240,1;0;0;0;0;0;0;0;Pasar Subuh;Distribusi;0,67;Normal;32000
33;2025-05-07;Daging Ayam;Protein Hewani;kg;Pasar Bukit Sulap;Lubuklinggau Timur I;37500;248,3;0;0;0;0;0;0;0;Tawar-Menawar Tradisional;Budaya;0,54;Normal;38000
34;2025-05-07;Minyak Goreng;Pangan Olahan;liter;Pasar Inpres;Lubuklinggau Barat I;17100;442,8;0;0;0;0;0;0;0;Tawar-Menawar Tradisional;Budaya;0,6;Normal;17300
35;2025-05-07;Beras;Pangan Pokok;kg;Pasar Moneng Sepati;Lubuklinggau Selatan II;12600;546,2;0;0;0;0;0;0;0;Tawar-Menawar Tradisional;Budaya;0,5;Normal;12800
36;2025-05-08;Bawang Merah;Hortikultura;kg;Pasar Simpang Periuk;Lubuklinggau Selatan I;31500;195,7;0;0;0;0;0;0;0;Harga Musiman Hari Besar;Perilaku Pasar;0,84;Normal;31500
37;2025-05-08;Daging Ayam;Protein Hewani;kg;Pasar Bukit Sulap;Lubuklinggau Timur I;37500;304,3;0;0;0;0;0;0;0;Pasokan Harian Tanpa Gudang;Distribusi;0,76;Normal;37500
38;2025-05-08;Minyak Goreng;Pangan Olahan;liter;Pasar Inpres;Lubuklinggau Barat I;17200;412,4;0;0;0;0;0;0;0;Pasokan Harian Tanpa Gudang;Distribusi;0,76;Normal;17300
39;2025-05-08;Beras;Pangan Pokok;kg;Pasar Moneng Sepati;Lubuklinggau Selatan II;12900;507,8;0;0;0;1;0;0;0;Pasokan Harian Tanpa Gudang;Distribusi;0,8;Hujan;13000
40;2025-05-08;Cabai Merah;Hortikultura;kg;Pasar Simpang Periuk;Lubuklinggau Selatan I;38000;182,1;0;0;0;0;0;0;0;Distribusi Berbasis Keluarga;Sosial;0,63;Normal;38500
41;2025-05-09;Daging Ayam;Protein Hewani;kg;Pasar Bukit Sulap;Lubuklinggau Timur I;38000;267,3;0;0;0;1;0;0;0;Sistem Langganan Pemasok;Sosial Ekonomi;0,62;Hujan;38500
42;2025-05-09;Minyak Goreng;Pangan Olahan;liter;Pasar Inpres;Lubuklinggau Barat I;17300;413;0;0;0;0;0;0;0;Sistem Langganan Pemasok;Sosial Ekonomi;0,65;Normal;17500
43;2025-05-09;Beras;Pangan Pokok;kg;Pasar Moneng Sepati;Lubuklinggau Selatan II;12900;532,6;0;0;0;1;0;0;0;Sistem Langganan Pemasok;Sosial Ekonomi;0,59;Hujan;13100
44;2025-05-09;Cabai Merah;Hortikultura;kg;Pasar Simpang Periuk;Lubuklinggau Selatan I;38500;174,1;0;0;0;0;0;0;0;Pasar Subuh;Distribusi;0,69;Normal;39000
45;2025-05-09;Bawang Merah;Hortikultura;kg;Pasar Bukit Sulap;Lubuklinggau Timur I;34000;226,6;0;0;0;0;0;0;0;Tawar-Menawar Tradisional;Budaya;0,6;Normal;34000
46;2025-05-10;Minyak Goreng;Pangan Olahan;liter;Pasar Inpres;Lubuklinggau Barat I;17200;413,8;0;0;0;0;0;0;0;Tawar-Menawar Tradisional;Budaya;0,53;Normal;17400
47;2025-05-10;Beras;Pangan Pokok;kg;Pasar Moneng Sepati;Lubuklinggau Selatan II;12800;588,2;0;0;0;0;0;0;0;Tawar-Menawar Tradisional;Budaya;0,55;Normal;12900
48;2025-05-10;Cabai Merah;Hortikultura;kg;Pasar Simpang Periuk;Lubuklinggau Selatan I;37500;193,8;0;0;0;1;0;0;0;Harga Musiman Hari Besar;Perilaku Pasar;0,75;Hujan;38000
49;2025-05-10;Bawang Merah;Hortikultura;kg;Pasar Bukit Sulap;Lubuklinggau Timur I;33500;231,2;0;0;0;0;0;0;0;Pasokan Harian Tanpa Gudang;Distribusi;0,69;Normal;33500
50;2025-05-10;Daging Ayam;Protein Hewani;kg;Pasar Inpres;Lubuklinggau Barat I;37000;292,3;0;0;0;1;0;0;0;Pasokan Harian Tanpa Gudang;Distribusi;0,79;Hujan;37500
51;2025-05-11;Beras;Pangan Pokok;kg;Pasar Moneng Sepati;Lubuklinggau Selatan II;13000;474,3;0;0;0;0;0;0;0;Pasokan Harian Tanpa Gudang;Distribusi;0,8;Normal;13200
52;2025-05-11;Cabai Merah;Hortikultura;kg;Pasar Simpang Periuk;Lubuklinggau Selatan I;37500;164,1;0;0;0;0;0;0;0;Distribusi Berbasis Keluarga;Sosial;0,58;Normal;38000
53;2025-05-11;Bawang Merah;Hortikultura;kg;Pasar Bukit Sulap;Lubuklinggau Timur I;33500;216,3;0;0;0;0;0;0;0;Sistem Langganan Pemasok;Sosial Ekonomi;0,66;Normal;33500
54;2025-05-11;Daging Ayam;Protein Hewani;kg;Pasar Inpres;Lubuklinggau Barat I;37000;271,7;0;0;0;0;0;0;0;Sistem Langganan Pemasok;Sosial Ekonomi;0,71;Normal;37500
55;2025-05-11;Minyak Goreng;Pangan Olahan;liter;Pasar Inpres;Lubuklinggau Barat I;17200;468,2;0;0;0;0;0;0;0;Pasar Subuh;Distribusi;0,74;Normal;17400
56;2025-05-12;Cabai Merah;Hortikultura;kg;Pasar Simpang Periuk;Lubuklinggau Selatan I;38500;168,3;0;0;0;1;0;0;0;Pasar Subuh;Distribusi;0,78;Hujan;38500
57;2025-05-12;Bawang Merah;Hortikultura;kg;Pasar Bukit Sulap;Lubuklinggau Timur I;33000;261;0;0;0;0;0;0;0;Tawar-Menawar Tradisional;Budaya;0,51;Normal;33000
58;2025-05-12;Daging Ayam;Protein Hewani;kg;Pasar Inpres;Lubuklinggau Barat I;36500;247,1;0;0;0;0;0;0;0;Tawar-Menawar Tradisional;Budaya;0,57;Normal;37000
59;2025-05-12;Minyak Goreng;Pangan Olahan;liter;Pasar Inpres;Lubuklinggau Barat I;17200;464,1;0;0;0;0;0;0;0;Harga Musiman Hari Besar;Perilaku Pasar;0,82;Normal;17300
60;2025-05-12;Beras;Pangan Pokok;kg;Pasar Moneng Sepati;Lubuklinggau Selatan II;12700;566,8;0;0;0;0;0;0;0;Harga Musiman Hari Besar;Perilaku Pasar;0,81;Normal;12800
61;2025-05-13;Bawang Merah;Hortikultura;kg;Pasar Bukit Sulap;Lubuklinggau Timur I;33000;207,5;0;0;0;0;0;0;0;Pasokan Harian Tanpa Gudang;Distribusi;0,79;Normal;33500
62;2025-05-13;Daging Ayam;Protein Hewani;kg;Pasar Inpres;Lubuklinggau Barat I;37000;272,2;0;0;0;1;0;0;0;Pasokan Harian Tanpa Gudang;Distribusi;0,74;Hujan;37000
